,model,params,R2_train,R2_test,RMSE_train,RMSE_test,MAPE_train,MAPE_test
0,LinearRegression(n_jobs=-1),"{'copy_X': True, 'fit_intercept': True, 'n_jobs': -1, 'normalize': 'deprecated', 'positive': False}",0.9442256419134095,0.946592580740324,3367.774519555254,3343.511148419969,0.15452869617201848,0.14797196071962754
1,"DecisionTreeRegressor(max_depth=8, max_features='auto', min_samples_leaf=20,
                      min_samples_split=200, random_state=0)","{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'auto', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 20, 'min_samples_split': 200, 'min_weight_fraction_leaf': 0.0, 'random_state': 0, 'splitter': 'best'}",0.9570787113835708,0.9553743527712341,2954.351006315842,3056.287768150063,0.11326623454785233,0.11453073783020197
2,"ElasticNet(alpha=1, normalize=False, random_state=0, selection='random',
           warm_start=True)","{'alpha': 1, 'copy_X': True, 'fit_intercept': True, 'l1_ratio': 0.5, 'max_iter': 1000, 'normalize': False, 'positive': False, 'precompute': False, 'random_state': 0, 'selection': 'random', 'tol': 0.0001, 'warm_start': True}",0.839746250395663,0.837779686457709,5708.602671095774,5827.128530768985,0.2767725878844229,0.27671587717110935
3,"RandomForestRegressor(max_depth=8, max_samples=8000, min_samples_leaf=30,
                      min_samples_split=60, n_estimators=200, oob_score=True,
                      random_state=0, verbose=True, warm_start=True)","{'bootstrap': True, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': 8000, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 30, 'min_samples_split': 60, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 200, 'n_jobs': None, 'oob_score': True, 'random_state': 0, 'verbose': True, 'warm_start': True}",0.9583927018525775,0.9562759989345962,2908.777310531619,3025.2545823025075,0.11225698530710812,0.11460055767588756
4,"GradientBoostingRegressor(criterion='squared_error', loss='absolute_error',
                          max_depth=8, max_features='auto', min_samples_leaf=60,
                          min_samples_split=60, random_state=0)","{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'init': None, 'learning_rate': 0.1, 'loss': 'absolute_error', 'max_depth': 8, 'max_features': 'auto', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 60, 'min_samples_split': 60, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'random_state': 0, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",0.9645247959368448,0.9564997743771587,2685.8896619124284,3017.5031635438336,0.09510024086258108,0.1111970721236714
5,"AdaBoostRegressor(learning_rate=1.2, n_estimators=30, random_state=0)","{'base_estimator': None, 'learning_rate': 1.2, 'loss': 'linear', 'n_estimators': 30, 'random_state': 0}",0.9475918805657917,0.9486671796590485,3264.5626272978457,3277.928998726701,0.15671884759301433,0.15150296947020106
6,"BaggingRegressor(bootstrap_features=True, max_features=5, max_samples=8000,
                 n_estimators=20, oob_score=True, random_state=0, verbose=True)","{'base_estimator': None, 'bootstrap': True, 'bootstrap_features': True, 'max_features': 5, 'max_samples': 8000, 'n_estimators': 20, 'n_jobs': None, 'oob_score': True, 'random_state': 0, 'verbose': True, 'warm_start': False}",0.7412039128076249,0.6176970555022696,7254.451296281193,8945.524321060519,0.3864857193814724,0.46544956686748473
7,"BaggingRegressor(bootstrap_features=True, max_features=5, n_estimators=20,
                 oob_score=True, random_state=0, verbose=True)","{'base_estimator': None, 'bootstrap': True, 'bootstrap_features': True, 'max_features': 5, 'max_samples': 1.0, 'n_estimators': 20, 'n_jobs': None, 'oob_score': True, 'random_state': 0, 'verbose': True, 'warm_start': False}",0.8057655499244715,0.6221433281056726,6284.762155347926,8893.35291663492,0.33419262523772314,0.46300271958315387
8,"BaggingRegressor(bootstrap_features=True, n_estimators=20, oob_score=True,
                 random_state=0, verbose=True)","{'base_estimator': None, 'bootstrap': True, 'bootstrap_features': True, 'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 20, 'n_jobs': None, 'oob_score': True, 'random_state': 0, 'verbose': True, 'warm_start': False}",0.9824701183749306,0.9059027327320255,1888.057464055211,4438.032567025939,0.07911177489196812,0.1948044979628782
9,"BaggingRegressor(bootstrap_features=True, n_estimators=100, oob_score=True,
                 random_state=0, verbose=True)","{'base_estimator': None, 'bootstrap': True, 'bootstrap_features': True, 'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': True, 'random_state': 0, 'verbose': True, 'warm_start': False}",0.9896616817077912,0.9299232516649742,1449.9421195170567,3829.9133659974245,0.0656430699806227,0.1722466996471477
