,items,support,ordered_statistics,base_item,add_item,confidence,lift
0,frozenset({'BEVERAGE'}),0.43892715269640764,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'BEVERAGE'}), confidence=0.43892715269640764, lift=1.0)]",frozenset(),frozenset({'BEVERAGE'}),0.43892715269640764,1.0
1,frozenset({'FOOD'}),0.4632905604298248,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'FOOD'}), confidence=0.4632905604298248, lift=1.0)]",frozenset(),frozenset({'FOOD'}),0.4632905604298248,1.0
2,frozenset({'TOBACCO'}),0.48169529307536224,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'TOBACCO'}), confidence=0.48169529307536224, lift=1.0)]",frozenset(),frozenset({'TOBACCO'}),0.48169529307536224,1.0
3,"frozenset({'BEVERAGE', 'FOOD'})",0.22540081735303363,"[OrderedStatistic(items_base=frozenset({'BEVERAGE'}), items_add=frozenset({'FOOD'}), confidence=0.513526711592929, lift=1.108433357926604), OrderedStatistic(items_base=frozenset({'FOOD'}), items_add=frozenset({'BEVERAGE'}), confidence=0.4865214977484424, lift=1.108433357926604)]",frozenset({'BEVERAGE'}),frozenset({'FOOD'}),0.513526711592929,1.108433357926604
4,"frozenset({'MISC', 'BEVERAGE'})",0.007844874396273327,"[OrderedStatistic(items_base=frozenset({'MISC'}), items_add=frozenset({'BEVERAGE'}), confidence=0.4959349593495934, lift=1.1298798816682374)]",frozenset({'MISC'}),frozenset({'BEVERAGE'}),0.4959349593495934,1.1298798816682374
5,"frozenset({'MISC', 'FOOD'})",0.011845903232259723,"[OrderedStatistic(items_base=frozenset({'MISC'}), items_add=frozenset({'FOOD'}), confidence=0.7488708220415536, lift=1.6164171817935973)]",frozenset({'MISC'}),frozenset({'FOOD'}),0.7488708220415536,1.6164171817935973
6,"frozenset({'MISC', 'BEVERAGE', 'FOOD'})",0.006415935526278186,"[OrderedStatistic(items_base=frozenset({'MISC'}), items_add=frozenset({'BEVERAGE', 'FOOD'}), confidence=0.4056007226738934, lift=1.7994642940385703), OrderedStatistic(items_base=frozenset({'MISC', 'BEVERAGE'}), items_add=frozenset({'FOOD'}), confidence=0.8178506375227688, lift=1.7653082263622975), OrderedStatistic(items_base=frozenset({'MISC', 'FOOD'}), items_add=frozenset({'BEVERAGE'}), confidence=0.5416164053075996, lift=1.2339551152858819)]",frozenset({'MISC'}),"frozenset({'BEVERAGE', 'FOOD'})",0.4056007226738934,1.7994642940385703
7,"frozenset({'TOBACCO', 'BEVERAGE', 'FOOD'})",0.06931782458346432,"[OrderedStatistic(items_base=frozenset({'TOBACCO', 'BEVERAGE'}), items_add=frozenset({'FOOD'}), confidence=0.4477983937967322, lift=0.9665605821566502), OrderedStatistic(items_base=frozenset({'TOBACCO', 'FOOD'}), items_add=frozenset({'BEVERAGE'}), confidence=0.41369606003752346, lift=0.9425164460574265)]","frozenset({'TOBACCO', 'BEVERAGE'})",frozenset({'FOOD'}),0.4477983937967322,0.9665605821566502
8,"frozenset({'TOBACCO', 'MISC', 'BEVERAGE'})",0.0022434340258923723,"[OrderedStatistic(items_base=frozenset({'TOBACCO', 'MISC'}), items_add=frozenset({'BEVERAGE'}), confidence=0.521594684385382, lift=1.1883399812044733)]","frozenset({'TOBACCO', 'MISC'})",frozenset({'BEVERAGE'}),0.521594684385382,1.1883399812044733
9,"frozenset({'TOBACCO', 'MISC', 'FOOD'})",0.0037009516732874168,"[OrderedStatistic(items_base=frozenset({'TOBACCO', 'MISC'}), items_add=frozenset({'FOOD'}), confidence=0.8604651162790699, lift=1.8572904129122776)]","frozenset({'TOBACCO', 'MISC'})",frozenset({'FOOD'}),0.8604651162790699,1.8572904129122776
10,"frozenset({'TOBACCO', 'MISC', 'BEVERAGE', 'FOOD'})",0.0019433568631933927,"[OrderedStatistic(items_base=frozenset({'TOBACCO', 'MISC'}), items_add=frozenset({'BEVERAGE', 'FOOD'}), confidence=0.45182724252491696, lift=2.00455015128558), OrderedStatistic(items_base=frozenset({'TOBACCO', 'MISC', 'BEVERAGE'}), items_add=frozenset({'FOOD'}), confidence=0.8662420382165605, lift=1.8697597408695128), OrderedStatistic(items_base=frozenset({'TOBACCO', 'MISC', 'FOOD'}), items_add=frozenset({'BEVERAGE'}), confidence=0.5250965250965252, lift=1.1963181632094613)]","frozenset({'TOBACCO', 'MISC'})","frozenset({'BEVERAGE', 'FOOD'})",0.45182724252491696,2.00455015128558
