dataTime,close
12/30/2021 15:30:00,206.6
12/31/2021 15:30:00,207
1/3/2022 15:30:00,207.4
1/4/2022 15:30:00,207.45
1/5/2022 15:30:00,203.85
1/6/2022 15:30:00,203.25
1/7/2022 15:30:00,201.15
1/10/2022 15:30:00,200.9
1/11/2022 15:30:00,198.6
1/12/2022 15:30:00,198.4
1/13/2022 15:30:00,198.7
1/14/2022 15:30:00,199.8
1/17/2022 15:30:00,199.1
1/18/2022 15:30:00,195.5
1/19/2022 15:30:00,193.55
1/20/2022 15:30:00,195.1
1/21/2022 15:30:00,193.7
1/24/2022 15:30:00,187.85
1/25/2022 15:30:00,193.4
1/27/2022 15:30:00,179.8
1/28/2022 15:30:00,170.05
1/31/2022 15:30:00,167.45
2/1/2022 15:30:00,178.2
2/2/2022 15:30:00,180.05
2/3/2022 15:30:00,182.75
2/4/2022 15:30:00,180.2
2/7/2022 15:30:00,183.4
2/8/2022 15:30:00,184.95
2/9/2022 15:30:00,177.5
2/10/2022 15:30:00,173.2
2/11/2022 15:30:00,169.75
2/14/2022 15:30:00,162.25
2/15/2022 15:30:00,168.1
2/16/2022 15:30:00,167.4
2/17/2022 15:30:00,164.2
2/18/2022 15:30:00,160.55
2/21/2022 15:30:00,156.1
2/22/2022 15:30:00,151.8
2/23/2022 15:30:00,152.9
2/24/2022 15:30:00,141.7
2/25/2022 15:30:00,153.35
2/28/2022 15:30:00,152.9
3/2/2022 15:30:00,151.4
3/3/2022 15:30:00,153.55
3/4/2022 15:30:00,148.3
3/7/2022 15:30:00,146.6
3/8/2022 15:30:00,147.35
3/9/2022 15:30:00,153.2
3/10/2022 15:30:00,156.85
3/11/2022 15:30:00,156.2
3/14/2022 15:30:00,155.3
3/15/2022 15:30:00,153.7
3/16/2022 15:30:00,153.4
3/17/2022 15:30:00,155.95
3/21/2022 15:30:00,156.35
3/22/2022 15:30:00,154.75
3/23/2022 15:30:00,152.35
3/24/2022 15:30:00,152.25
3/25/2022 15:30:00,151.65
3/28/2022 15:30:00,148.5
3/29/2022 15:30:00,149.2
3/30/2022 15:30:00,154.7
3/31/2022 15:30:00,154.65
4/1/2022 15:30:00,153.85
4/4/2022 15:30:00,159.05
4/5/2022 15:30:00,167.55
4/6/2022 15:30:00,166.4
4/7/2022 15:30:00,163.4
4/8/2022 15:30:00,165.6
4/11/2022 15:30:00,170.2
4/12/2022 15:30:00,163.9
4/13/2022 15:30:00,164
4/18/2022 15:30:00,161.05
4/19/2022 15:30:00,161
4/20/2022 15:30:00,163.1
4/21/2022 15:30:00,162.4
4/22/2022 15:30:00,161.95
4/25/2022 15:30:00,159.2
4/26/2022 15:30:00,157.95
4/27/2022 15:30:00,156.1
4/28/2022 15:30:00,158.8
4/29/2022 15:30:00,156.2
5/2/2022 15:30:00,155.15
5/4/2022 15:30:00,148.75
5/5/2022 15:30:00,145.5
5/6/2022 15:30:00,145.85
5/9/2022 15:30:00,143.75
5/10/2022 15:30:00,145.25
5/11/2022 15:30:00,140.2
5/12/2022 15:30:00,139.7
5/13/2022 15:30:00,139.8
5/16/2022 15:30:00,137.25
5/17/2022 15:30:00,142.35
5/18/2022 15:30:00,147.75
5/19/2022 15:30:00,149.75
5/20/2022 15:30:00,150.7
5/23/2022 15:30:00,149.4
5/24/2022 15:30:00,145.95
5/25/2022 15:30:00,140.25
5/26/2022 15:30:00,139.3
5/27/2022 15:30:00,144.4
5/30/2022 15:30:00,153.1
5/31/2022 15:30:00,157
6/1/2022 15:30:00,156.1
6/2/2022 15:30:00,156.9
6/3/2022 15:30:00,160.95
6/6/2022 15:30:00,163.45
6/7/2022 15:30:00,158.75
6/8/2022 15:30:00,153.55
6/9/2022 15:30:00,154.05
6/10/2022 15:30:00,154.85
6/13/2022 15:30:00,147.85
6/14/2022 15:30:00,144.15
6/15/2022 15:30:00,143.15
6/16/2022 15:30:00,138.2
6/17/2022 15:30:00,133.95
6/20/2022 15:30:00,130.65
6/21/2022 15:30:00,137.35
6/22/2022 15:30:00,136.25
6/23/2022 15:30:00,139
6/24/2022 15:30:00,138.6
6/27/2022 15:30:00,139.25
6/28/2022 15:30:00,137.2
6/29/2022 15:30:00,135
6/30/2022 15:30:00,136.2
7/1/2022 15:30:00,136.7
7/4/2022 15:30:00,137.05
7/5/2022 15:30:00,137.75
7/6/2022 15:30:00,139.45
7/7/2022 15:30:00,138.95
7/8/2022 15:30:00,139
7/11/2022 15:30:00,136.8
7/12/2022 15:30:00,135.45
7/13/2022 15:30:00,135.45
7/14/2022 15:30:00,132.4
7/15/2022 15:30:00,133.6
7/18/2022 15:30:00,135.95
7/19/2022 15:30:00,136.9
7/20/2022 15:30:00,137.1
7/21/2022 15:30:00,139.4
7/22/2022 15:30:00,140.05
7/25/2022 15:30:00,131.9
7/26/2022 15:30:00,131.35
7/27/2022 15:30:00,132.15
7/28/2022 15:30:00,133.3
7/29/2022 15:30:00,132.75
8/1/2022 15:30:00,136.1
8/2/2022 15:30:00,139
8/3/2022 15:30:00,137.5
8/4/2022 15:30:00,136.1
8/5/2022 15:30:00,134.6
8/8/2022 15:30:00,138.25
8/10/2022 15:30:00,138.15
8/11/2022 15:30:00,138.25
8/12/2022 15:30:00,143.15
8/16/2022 15:30:00,144
8/17/2022 15:30:00,141.6
8/18/2022 15:30:00,146.35
8/19/2022 15:30:00,145.9
8/22/2022 15:30:00,141.75
8/23/2022 15:30:00,143.85
8/24/2022 15:30:00,144.05
8/25/2022 15:30:00,145.25
8/26/2022 15:30:00,145.35
8/29/2022 15:30:00,148.1
8/30/2022 15:30:00,152.05
9/1/2022 15:30:00,148
9/2/2022 15:30:00,147.2
9/5/2022 15:30:00,151.95
9/6/2022 15:30:00,153.3
9/7/2022 15:30:00,151.65
9/8/2022 15:30:00,154.2
9/9/2022 15:30:00,150.95
9/12/2022 15:30:00,149.35
9/13/2022 15:30:00,148.35
9/14/2022 15:30:00,146.65
9/15/2022 15:30:00,145.35
9/16/2022 15:30:00,142.9
9/19/2022 15:30:00,140.15
9/20/2022 15:30:00,146.95
9/21/2022 15:30:00,148.2
9/22/2022 15:30:00,144.75
9/23/2022 15:30:00,143.8
9/26/2022 15:30:00,137.55
9/27/2022 15:30:00,138.85
9/28/2022 15:30:00,138.05
9/29/2022 15:30:00,138.1
9/30/2022 15:30:00,136.6
10/3/2022 15:30:00,137.8
10/4/2022 15:30:00,143.35
10/6/2022 15:30:00,145.65
10/7/2022 15:30:00,142.6
10/10/2022 15:30:00,139.85
10/11/2022 15:30:00,136.9
10/12/2022 15:30:00,135.9
10/13/2022 15:30:00,135.85
10/14/2022 15:30:00,138.1
10/17/2022 15:30:00,137.35
10/18/2022 15:30:00,137.65
10/19/2022 15:30:00,137.65
10/20/2022 15:30:00,138.95
10/21/2022 15:30:00,138.4
10/25/2022 15:30:00,134
10/27/2022 15:30:00,132.95
10/28/2022 15:30:00,132.95
10/31/2022 15:30:00,133.95
11/1/2022 15:30:00,133.75
11/2/2022 15:30:00,138.05
11/3/2022 15:30:00,139.45
11/4/2022 15:30:00,145.55
11/7/2022 15:30:00,156.9
11/9/2022 15:30:00,158.05
11/10/2022 15:30:00,155.05
11/11/2022 15:30:00,151.5
11/14/2022 15:30:00,152.2
11/15/2022 15:30:00,149.65
11/16/2022 15:30:00,161.85
11/17/2022 15:30:00,157.85
11/18/2022 15:30:00,155.5
11/21/2022 15:30:00,155.5
11/22/2022 15:30:00,158.05
11/23/2022 15:30:00,155.7
11/24/2022 15:30:00,156.2
11/25/2022 15:30:00,161.75
11/28/2022 15:30:00,158.85
11/29/2022 15:30:00,156.4
11/30/2022 15:30:00,157.55
12/1/2022 15:30:00,158
12/2/2022 15:30:00,163.4
12/5/2022 15:30:00,174.35
12/6/2022 15:30:00,172
12/7/2022 15:30:00,170.2
12/8/2022 15:30:00,178.65
12/9/2022 15:30:00,171.95
12/12/2022 15:30:00,168.9
12/13/2022 15:30:00,168.35
12/14/2022 15:30:00,180.2
12/15/2022 15:30:00,182.85
12/16/2022 15:30:00,182.5
12/19/2022 15:30:00,178.8
12/20/2022 15:30:00,176.25
12/21/2022 15:30:00,185.8
12/22/2022 15:30:00,180.05
12/23/2022 15:30:00,166.85
12/26/2022 15:30:00,180.7
12/27/2022 15:30:00,185.85
12/28/2022 15:30:00,183.6
